EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,GlobalCovarianceProduct,GlobalCovarianceGeometricMean
20090120071456944,2009-01-20T07:14:56.956000Z,-84.012906,-78.140382,1.925,10.1,11.56,-84.01268,-78.140893,1.9213,0.2114,0.1009,0.0752,0.043,0.0629,0.0434,0.049,5.352,4.425,5.352,0.00011738397999999998,0.04896317933541622
20090120191914804,2009-01-20T19:19:14.816000Z,-84.025591,-78.166038,2.075,6.028,6.777,-84.027548,-78.166156,2.0569,0.053,0.1417,0.1529,0.0598,0.07,0.0414,0.0558,3.522,3.064,3.522,0.0001733004,0.055752779259114274
20090120211754052,2009-01-20T21:17:54.048000Z,-84.045281,-78.169432,2.105,6.159,7.143,-84.045673,-78.169341,2.1007,0.0629,0.1146,0.2174,0.0531,0.0824,0.0625,0.0649,3.582,3.003,3.582,0.000273465,0.06490835210248866
20090120030120280,2009-01-20T03:01:20.316000Z,-83.763234,-78.160883,1.845,42.63,50.79,-83.76333,-78.160567,1.8943,0.1916,0.0858,0.0677,0.0197,0.0373,0.0704,0.0373,8.233,6.517,8.233,5.1730623999999995e-05,0.037260548099095556
20090120083957360,2009-01-20T08:39:57.348000Z,-83.872568,-78.158899,1.895,7.781,8.992,-83.872598,-78.15874,1.8939,0.0748,0.1091,0.294,0.0444,0.0873,0.0889,0.0701,4.9,4.09,4.9,0.00034458706800000004,0.07010779771933412
20090120233603052,2009-01-20T23:36:03.064000Z,-83.90966,-78.1589,1.805,5.336,6.124,-83.909715,-78.15863,1.7998,0.3084,0.0829,0.0948,0.0781,0.1161,0.1013,0.0972,3.767,3.192,3.767,0.000918528633,0.09720700585838775
20090120070653184,2009-01-20T07:06:53.228000Z,-84.045231,-78.147264,1.99,6.112,6.848,-84.047225,-78.147771,1.9643,0.0714,0.1761,0.1994,0.0911,0.0995,0.0543,0.079,3.354,2.924,3.354,0.000492199635,0.07895514384599611
20090120210930220,2009-01-20T21:09:30.236000Z,-83.762144,-78.160703,1.965,5.657,6.63,-83.763066,-78.160996,1.9579,0.0856,0.1277,0.358,0.1074,0.1425,0.2126,0.1482,3.956,3.296,3.956,0.0032537367,0.14818155069826955
20090120121359896,2009-01-20T12:13:59.924000Z,-83.943686,-78.155986,1.98,7.0,8.175,-83.942442,-78.156345,1.9528,0.071,0.1078,0.2525,0.0584,0.0908,0.056,0.0667,3.446,2.862,3.446,0.00029695232000000003,0.06671583217682024
20090120014350692,2009-01-20T01:43:50.712000Z,-83.953478,-78.150655,1.955,7.675,8.862,-83.955717,-78.150404,1.9487,0.0752,0.1143,0.27,0.0525,0.0854,0.0388,0.0558,3.375,2.82,3.375,0.00017395979999999998,0.05582340201071057
20090120012625396,2009-01-20T01:26:25.444000Z,-83.925865,-78.186486,1.88,6.132,7.052,-83.925899,-78.186238,1.883,0.0861,0.1043,0.3237,0.0686,0.124,0.218,0.1228,4.125,3.52,4.125,0.0018543951999999999,0.12285724288539077
20090120111820004,2009-01-20T11:18:20.012000Z,-83.862491,-78.171706,1.6,6.203,7.238,-83.86215,-78.172089,1.6971,0.457,0.1209,0.1011,0.0828,0.1367,0.1985,0.131,4.602,3.826,4.602,0.0022467738599999997,0.13097441102270696
